split,atom_count,baseline_eligible,compressed_pair,compressed_pair_distance_angstrom,compressed_pair_image_shift,conv1,conv2,depth,dopant_chemical_potential,eform,en2,energy_identity_residual_ev,extension_factor,host_spacegroup,hostenergy,impurity,isolated_atom_indices_review_only,material,min_pair_covalent_ratio,previous_z,quality_reasons,relaxed_site_from_depth,reported_converged,review_flags,sha256,site,source_id,target
train,28,True,S9-Zr27,2.550354970177357,"[0, 0, 0]",0.000254722,-0.00573235,3.160738701440597,-0.183595435,0.1607504149999945,-191.46072612,-5.551115123125783e-17,1.1533022733761276,164,-191.4378811,Hg,[],S2Zr,0.9108410607776276,0,,ads,True,,c6121ec0563f36ed641e3ec026f1acd391479f739c44becc1af86f1e0ca67dc5,ads0,S2Zr_Hg_ads0,0.1607504149999945
train,28,True,P0-Pt5,2.3119493573206107,"[0, 0, 0]",-0.00599064,-9.47122e-05,-0.7819470789011295,-5.37555892,3.3742312200000093,-131.55890055,0.0,1.1613250906040018,164,-129.55757285,P,[],PtSe2,0.9514194886093047,0,,int,True,,6d6f6422222beac453c423335e761b34e5782f138640cf44acf604666c0ed2d5,int1,PtSe2_P_int1,3.3742312200000093
train,28,True,Pt0-Se23,2.517245295763976,"[0, 0, 0]",-0.00261736,-8.3461e-05,3.1791373534918943,-0.933634225,-0.6188595849999872,-131.11006666,0.0,0.9953175628282902,164,-129.55757285,Rb,[],PtSe2,0.9832989436578031,0,,ads,True,,61def80e486c1ba7d4abc230992c288c8a178c985d65d7c9a9e01b0399aebee6,ads1,PtSe2_Rb_ads1,-0.6188595849999872
train,28,True,Mo0-S17,2.249279989740049,"[0, 0, 0]",-0.0116922,0.0165787999999999,1.895996481468681,-10.90733766,2.393305850000022,-185.28714469,0.0,0.8984605045626562,164,-176.77311288,Mo,[],S2Ti,0.8684478724865055,0,,ads,True,,48538fa29d15350e6103a735d1b0eee48b9d13b1a135adfe0a13314840811eeb,ads1,S2Ti_Mo_ads1,2.393305850000022
train,37,True,Ge6-Ni36,2.219197112560102,"[0, 0, 0]",-0.0499353,-0.0188517,0.6426457352568462,-5.469610195,5.166136155000002,-135.62310980000004,2.842170943040401e-14,1.1287504310887777,164,-135.31963576,Ni,[],H2Ge2,0.9095070133443041,0,,int,True,,c8a86d3d2dca1ccfeeba78410fdee258155a3de94f82d92e941c35341bb3cae7,int1,H2Ge2_Ni_int1,5.166136155000002
train,55,True,W44-W48,2.8674087729255415,"[0, 0, 0]",-0.00265911,-0.0001517729999999,2.1415963258877393,-9.92359994,5.611454000000007,-356.69561976,0.0,0.9736510633377174,11,-352.38347382,Hf,[],Te4W2,0.8850027076930683,0,,ads,True,,e253b0030fb976d6172dabb979c226cfa76ec468d1582f7bb739cd3c9953f6a8,ads1,Te4W2_Hf_ads1,5.611454000000007
train,33,True,Bi6-I20,2.947898167684813,"[0, 0, 0]",-0.000311155,0.00369583,0.47932257754079144,-0.04017684,1.8655754000000109,-81.5827341,2.220446049250313e-16,1.2660109042415415,162,-83.40813266,Xe,[],Bi2I6,1.0271422187055097,0,,int,True,,40da45c159f350f288680dd0075482f7b916f6bb1093ba0675bdfe7f823f7038,int3,Bi2I6_Xe_int3,1.8655754000000109
train,28,True,Pd0-Se5,2.434882749254778,"[-1, 0, 0]",-0.00458283,-0.00373817,1.9141895170419758,-5.223210975,1.3443123450000047,-107.02878369,-2.220446049250313e-16,0.955546044081828,164,-103.14988506,Pd,[],Se2Sn,0.9401091695964395,0,,ads,True,,30253351c1f6648bd6e7a017c87a5a29b1e179ce3a2f9b9cf51b0fd56969dc7f,ads1,Se2Sn_Pd_ads1,1.3443123450000047
train,81,True,O46-V49,1.7098677655947285,"[-1, 0, 0]",-0.0375272,-0.00683944,-0.1535281137032523,-7.24930329,7.099883079999984,-711.42872874,0.0,1.3615049736699958,164,-711.27930853,Rh,[],CO2V2,0.7807615368012459,0,,int,True,short_bond_review_only,c917c405065c5ee9165357cfad7afb53327f14b04955716627c68cfc97bc38f6,int0,CO2V2_Rh_int0,7.099883079999984
train,55,True,Mn0-W41,2.44964023320582,"[-1, 0, 0]",-0.0103661,-0.00124035,-0.6878430544193398,-8.9133661725,2.4030171724999807,-358.89382282,0.0,1.0392153166819151,11,-352.38347382,Mn,[],Te4W2,0.8138339645202061,0,,int,True,,0d71c3fea0d92c3c7ce2ae871f20eadb11dfece67bcf9fc90ed849270adb8e99,int4,Te4W2_Mn_int4,2.4030171724999807
train,49,True,S43-Zr48,2.4285034567250463,"[0, 0, 0]",-0.00442576,0.000531011,2.164186427953764,-8.521698665,4.46806190500004,-361.49710543,0.0,0.9261506103987792,2,-357.44346867,Zr,[],Re4S8,0.867322663116088,0,,ads,True,,d0613218b8a5bd23322da338f2ba6235a94c40bdcc7575e4142d4ac49fe38685,ads1,Re4S8_Zr_ads1,4.46806190500004
train,97,True,Se26-Y96,2.517720040721909,"[1, 0, 0]",0.0030441,-0.0153234,1.173886787990663,-6.42870606,6.029420119999973,-684.27370005,0.0,1.3414205858727928,11,-683.87441411,Y,[],Se4W2,0.8121677550715837,0,,ads,True,site_migration_allowed,81c4f5dbf5054616f6a3c7c31e5fe57b8f502cd60bf37004e04b76e54f52a530,int3,Se4W2_Y_int3,6.029420119999973
train,28,True,Fe0-Mo5,2.3832308778189857,"[0, 0, 0]",-0.00181768,-5.75245e-05,0.0008939677300859427,-8.24112909,1.5830608600000016,-169.96155769,0.0,1.0680376844183102,187,-163.30348946,Fe,[],MoTe2,0.833297509726918,0,,int,True,,37203531f76bf372ea7b975a15db92961e62e65471b472113a0e456e389ba5d4,int4,MoTe2_Fe_int4,1.5830608600000016
train,28,True,Lu0-Zr20,2.7289751138978993,"[0, -1, 0]",0.000859702,-9.67795e-05,0.0002498931665758327,-4.452474715,2.1508965049999977,-193.73945931,0.0,1.4900083234199528,164,-191.4378811,Lu,[],S2Zr,0.7538605287010771,0,,int,True,short_bond_review_only,6f2c2afd51c426d4e6bdf6bf2a4b7d4ce4d13cea4c88a47f94a664ec0ebcae79,int0,S2Zr_Lu_int0,2.1508965049999977
val,113,True,Mo48-Nb87,2.575173850268875,"[0, 0, 0]",-0.00405599,0.0333881,1.4988567829111032,-10.90733766,6.103872839999955,-1130.0014322,0.0,0.9312665471046446,164,-1125.19796738,Mo,[],C3Nb4,0.8098030975688286,0,,ads,True,,317210327e2cb497b22afd45a646160d1ad1ca82fdb71ea854b2daa4c91e438c,ads2,C3Nb4_Mo_ads2,6.103872839999955
val,49,True,O17-Ti42,1.9181603933190514,"[0, 0, 0]",-0.00397567,0.000134904,0.5686985093596737,-4.953416425,2.533546515000012,-426.06482181,0.0,1.0232733985948963,164,-423.6449519,O,[],O2Ti,0.8487435368668368,0,,int,True,self_impurity_requires_checked_site_label;site_migration_allowed,787300338976938a2c87d13c09c34d6032e9e096e3699c8cbb43bb9462775307,ads0,O2Ti_O_ads0,2.533546515000012
val,28,True,Ni0-Zr27,2.591979897803193,"[-1, -1, 0]",-0.00303692,-6.50616e-05,0.6063705532746008,-5.469610195,0.1106351749999969,-179.41097591,-8.326672684688674e-17,1.0206659241385303,164,-174.05200089,Ni,[],Se2Zr,0.8668829089642786,0,,int,True,,17bbd3753a587594406efca9d2fe639acd17c743d01f069e92d91e638688a84f,int2,Se2Zr_Ni_int2,0.1106351749999969
val,19,True,Si7-Si14,2.2467151079963634,"[0, 0, 0]",-0.00479012,-0.00541722,4.640792782893167,-3.5038482133333333,-1.108392196666665,-87.06740008,0.0,1.9436256948110149,164,-82.45515967,Se,[],Si2,1.0120338324307943,0,,ads,True,,ecfde2c32bef63dcef98e703d6bedf628d53725911fca09f890701c6a617617b,ads2,Si2_Se_ads2,-1.108392196666665
